Name,,,,Address
Starbucks - Downer,,,,"2551 N Downer Ave, Milwaukee, WI 53211"
2550 N Lake Dr, Milwaukee, WI 53211, USA,"2550 N Lake Dr, Milwaukee, WI 53211"
Jack's on Brady,,,,"1323 E Brady St, Milwaukee, WI 53202"
Knuckleheads,,,,
Mitchell Hall,,,,
Kane and Arlington,,,,
1824 E Park Pl, Milwaukee, WI 53211, USA,
Hooligans,,,,
Subway - Downer,,,,
Mod Pizza,,,,
Freshwater,,,,
Domino's Pizza - Oakland,,,,
Library,,,,
Lakefront Brewery,,,,
Global Water Center,,,,
Cambridge Commons,,,,
Lubar,,,,
Foundation Bar,,,,
Yo Factory,,,,
Cafe Hollander,,,,
Qdoba,,,,
Sandburg,,,,
Metro Market Shorewood,,,,
Riverview,,,,
2522 N Lake Dr, Milwaukee, WI 53211, USA,
1709 E Park Pl, Milwaukee, WI 53211, USA,
4424 North Cramer Street, Milwaukee, Wisconsin 53211, United States,
Zelazo Front,,,,
Cunningham,,,,
2480 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States,
Alumni House,,,,
Sendik's - Downer,,,,
USR Surplus Dock,,,,
Kenilworth,,,,
Blaze Pizza,,,,
Sal's Pizza,,,,
Ian's,,,,
Collectivo - Prospect,,,,
Fresh Fin,,,,
EMS Cramer,,,,
Planet Fitness - Capitol,,,,
Union South,,,,
7-Eleven - Oakland,,,,
Klotsche,,,,
Club Brady,,,,
Hi Hat,,,,
Garage,,,,
7-Eleven - North,,,,
Up ,,,,
Stone Creek Coffee Shorewood,,,,
Walmart,,,,
Enderis,,,,
Music Building Parking,,,,
Thainamite,,,,
Whole Foods,,,,
Pick n Save,,,,
Union North,,,,
William Ho's,,,,
Jimmy Johns - Brady,,,,
Beans & Barley,,,,
Hefter Center,,,,
Pizza Shuttle,,,,
Nomad,,,,
Jalisco's,,,,
WalgreensÛÒOakland,,,,
Landmark Lanes,,,,
Casablanca,,,,
1695 N Cass St, Milwaukee, WI 53202, USA,
Lapham,,,,
NWQ,,,,
Arch Court,,,,
Merrill Hall,,,,
CVSÛÒBrady,,,,
WalgreensÛÒBrady,,,,
Corner Bakery,,,,
Jimmy Johns - Oakland,,,,
BelAirÛÒDowner,,,,
McDonald's - North,,,,
Aldi,,,,
Physics Kenwood,,,,
Norris Health Center,,,,
Frozone,,,,
Cousin's - Brady,,,,
 ,,,,
Starbucks Shorewood,,,,
1858 N Commerce St,,,,
Comet Cafe,,,,
Honor's College,,,,
Colectivo - Shorewood,,,,
Garland Hall,,,,
CVSÛÒDowner,,,,
Pizza Man,,,,
Brady and Prospect,,,,
FedEx,,,,
1320 WI-190, Shorewood, WI 53211, USA,
Ma Fischer's,,,,
Englemann,,,,
EMS Parking,,,,
McDonalds - Capitol,,,,
Upark,,,,
1830 North Oakland Avenue, Milwaukee, Wisconsin 53202, United States,
Art Bar,,,,
USR Parking,,,,
Purin Hall,,,,
Noodles & Company,,,,
Camp,,,,
BelAirÛÒHumbolt,,,,
Vitucci's,,,,
1714 E Park Pl, Milwaukee, WI 53211, USA,
Collectivo - Lake,,,,
707 E Brady St, Milwaukee, WI 53202, USA,
Mellencamp Hall Parking,,,,
Thai Kitchen,,,,
Toppers,,,,
Goodwill - Oakland,,,,
Stone Creek - Downer,,,,
KIRC Parking,,,,
Columbia St. Mary's - Main,,,,
Rochambo,,,,
Zelazo Parking,,,,
Miramar Theatre,,,,
Shawarma House,,,,
Culver's,,,,
UWM Klotsche Center ,,,,
615 E Brady St, Milwaukee, WI 53202, USA,
Insomnia Cookes,,,,
Oakland Gyros,,,,
Curtin,,,,
Chubbys,,,,
Zilber,,,,
Von Trier,,,,
