ID,Stop_0,Cnt_0,Stop_1,Cnt_1 
82152,Sandburg Residence Hall (Sand),25,Capitol and Humboldt Park and Ride (C/H),13 
100592,Sandburg Residence Hall (Sand),46,Capitol and Humboldt Park and Ride (C/H),12 
80269,Sandburg Residence Hall (Sand),27,Capitol and Humboldt Park and Ride (C/H),2 
92125,UWM Union (Union),44,Capitol and Humboldt Park and Ride (C/H),9 
71288,Sandburg Residence Hall (Sand),15,Capitol and Humboldt Park and Ride (C/H),23 
98234,Sandburg Residence Hall (Sand),20,Cambridge Commons (CC-S),26 
86031,UWM Union (Union),17,Capitol and Humboldt Park and Ride (C/H),40 
100968,UWM Golda Meir Library (Lib),29,RiverView Residence Hall (RVW),32 
100238,UWM Golda Meir Library (Lib),40,RiverView Residence Hall (RVW),49 
97568,Sandburg Residence Hall (Sand),13,Capitol and Humboldt Park and Ride (C/H),20 
107797,UWM Union (Union),30,Capitol and Humboldt Park and Ride (C/H),36 
98434,UWM Union (Union),22,Capitol and Humboldt Park and Ride (C/H),37 
103378,UWM Union (Union),26,Capitol and Humboldt Park and Ride (C/H),35 
85672,UWM Union (Union),49,Capitol and Humboldt Park and Ride (C/H),38 
97900,Sandburg Residence Hall (Sand),4,Capitol and Humboldt Park and Ride (C/H),2 
105011,UWM Golda Meir Library (Lib),28,Cambridge Commons (CC-S),55 
101002,UWM Golda Meir Library (Lib),48,Cambridge Commons (CC-S),46 
100875,UWM Golda Meir Library (Lib),49,Cambridge Commons (CC-S),62 
98991,Cunningham Hall (Cunn),42,Cambridge Commons (CC-S),83 
98701,UWM Golda Meir Library (Lib),77,Cambridge Commons (CC-S),68 
106380,UWM Golda Meir Library (Lib),32,RiverView Residence Hall (RVW),55 
101660,UWM Golda Meir Library (Lib),61,RiverView Residence Hall (RVW),80 
107968,UWM Golda Meir Library (Lib),53,RiverView Residence Hall (RVW),52 
98788,UWM Golda Meir Library (Lib),81,RiverView Residence Hall (RVW),73 
103406,UWM Golda Meir Library (Lib),51,RiverView Residence Hall (RVW),23 
98179,UWM Golda Meir Library (Lib),51,RiverView Residence Hall (RVW),42 
104579,Sandburg Residence Hall (Sand),4,Cambridge Commons (CC-S),5 
96923,Sandburg Residence Hall (Sand),27,Capitol and Humboldt Park and Ride (C/H),28 
91183,UWM Union (Union),10,Capitol and Humboldt Park and Ride (C/H),11 
109479,Sandburg Residence Hall (Sand),28,Capitol and Humboldt Park and Ride (C/H),21 
81218,Sandburg Residence Hall (Sand),22,Capitol and Humboldt Park and Ride (C/H),29 
100543,UWM Union (Union),4,Capitol and Humboldt Park and Ride (C/H),8 
106718,Sandburg Residence Hall (Sand),24,Capitol and Humboldt Park and Ride (C/H),14 
98354,UWM Golda Meir Library (Lib),37,RiverView Residence Hall (RVW),45 
89912,UWM Union (Union),42,Capitol and Humboldt Park and Ride (C/H),21 
97892,UWM Golda Meir Library (Lib),81,Kenilworth Square Apartments (KNW),113 
90469,UWM Union (Union),53,Capitol and Humboldt Park and Ride (C/H),45 
98979,Sandburg Residence Hall (Sand),79,Capitol and Humboldt Park and Ride (C/H),56 
100568,UWM Union (Union),40,Capitol and Humboldt Park and Ride (C/H),40 
101135,UWM Union (Union),40,Capitol and Humboldt Park and Ride (C/H),47 
98008,UWM Union (Union),35,Capitol and Humboldt Park and Ride (C/H),36 
101231,UWM Golda Meir Library (Lib),69,Cambridge Commons (CC-S),75 
102680,UWM Union (Union),11,Capitol and Humboldt Park and Ride (C/H),19 
97611,UWM Golda Meir Library (Lib),70,Cambridge Commons (CC-S),49 
99182,UWM Golda Meir Library (Lib),48,Cambridge Commons (CC-S),74 
98843,UWM Golda Meir Library (Lib),43,Cambridge Commons (CC-S),68 
97838,UWM Golda Meir Library (Lib),65,Cambridge Commons (CC-S),69 
101015,UWM Golda Meir Library (Lib),36,Cambridge Commons (CC-S),43 
98376,UWM Golda Meir Library (Lib),69,Cambridge Commons (CC-S),71 
99088,UWM Golda Meir Library (Lib),23,Cambridge Commons (CC-S),21 
100898,UWM Golda Meir Library (Lib),41,Cambridge Commons (CC-S),49 
98038,UWM Golda Meir Library (Lib),75,Cambridge Commons (CC-S),65 
98705,UWM Golda Meir Library (Lib),72,Cambridge Commons (CC-S),67 
103035,UWM Golda Meir Library (Lib),4,Cambridge Commons (CC-S),4 
97715,UWM Golda Meir Library (Lib),50,Cambridge Commons (CC-S),77 
106609,UWM Golda Meir Library (Lib),45,Cambridge Commons (CC-S),55 
94379,Non-Peak Hours UWM KIRC (KIRC-S),3,Cambridge Commons (CC-S),4 
99602,UWM Golda Meir Library (Lib),46,Cambridge Commons (CC-S),61 
99482,UWM Golda Meir Library (Lib),81,Cambridge Commons (CC-S),100 
98080,UWM Golda Meir Library (Lib),61,Cambridge Commons (CC-S),43 
108911,UWM Union (Union),35,Capitol and Humboldt Park and Ride (C/H),46 
97806,Cunningham Hall (Cunn),33,RiverView Residence Hall (RVW),69 
98307,UWM Golda Meir Library (Lib),54,RiverView Residence Hall (RVW),83 
100256,UWM Union (Union),10,Capitol and Humboldt Park and Ride (C/H),10 
104261,UWM Golda Meir Library (Lib),51,RiverView Residence Hall (RVW),45 
109172,UWM Golda Meir Library (Lib),43,RiverView Residence Hall (RVW),52 
101813,UWM Golda Meir Library (Lib),47,RiverView Residence Hall (RVW),53 
109214,UWM Union (Union),39,Capitol and Humboldt Park and Ride (C/H),37 
108059,Sandburg Residence Hall (Sand),37,Capitol and Humboldt Park and Ride (C/H),32 
82499,UWM Union (Union),37,Capitol and Humboldt Park and Ride (C/H),46 
84070,UWM Union (Union),4,Capitol and Humboldt Park and Ride (C/H),8 
104162,UWM Union (Union),44,Capitol and Humboldt Park and Ride (C/H),51 
106791,UWM Golda Meir Library (Lib),56,Cambridge Commons (CC-S),75 
71594,UWM Union (Union),12,Capitol and Humboldt Park and Ride (C/H),13 
100665,UWM Golda Meir Library (Lib),1,Kenilworth Square Apartments (KNW),40 
91978,UWM Union (Union),21,Capitol and Humboldt Park and Ride (C/H),43 
99749,UWM Golda Meir Library (Lib),18,Kenilworth Square Apartments (KNW),26 
94098,Cunningham Hall (Cunn),22,Kenilworth Square Apartments (KNW),47 
99047,UWM Union (Union),61,Capitol and Humboldt Park and Ride (C/H),59 
71385,UWM Golda Meir Library (Lib),82,Cambridge Commons (CC-S),61 
89234,Cunningham Hall (Cunn),37,Kenilworth Square Apartments (KNW),44 
100962,UWM Golda Meir Library (Lib),56,Cambridge Commons (CC-S),65 
100982,UWM Golda Meir Library (Lib),60,Cambridge Commons (CC-S),73 
109191,UWM Golda Meir Library (Lib),22,Cambridge Commons (CC-S),16 
101171,UWM Golda Meir Library (Lib),52,Cambridge Commons (CC-S),59 
99580,Sandburg Residence Hall (Sand),35,Cambridge Commons (CC-S),62 
99043,Cunningham Hall (Cunn),52,Cambridge Commons (CC-S),73 
104892,UWM Union (Union),27,Capitol and Humboldt Park and Ride (C/H),25 
100923,UWM Golda Meir Library (Lib),49,Cambridge Commons (CC-S),57 
105827,UWM Golda Meir Library (Lib),63,Cambridge Commons (CC-S),57 
77170,UWM Union (Union),29,Capitol and Humboldt Park and Ride (C/H),30 
98965,UWM Union (Union),15,Capitol and Humboldt Park and Ride (C/H),19 
97595,UWM Golda Meir Library (Lib),49,Kenilworth Square Apartments (KNW),90 
97578,UWM Golda Meir Library (Lib),51,Kenilworth Square Apartments (KNW),61 
109762,UWM Golda Meir Library (Lib),22,RiverView Residence Hall (RVW),51 
98937,Cunningham Hall (Cunn),39,RiverView Residence Hall (RVW),64 
101719,UWM Golda Meir Library (Lib),67,RiverView Residence Hall (RVW),68 
88852,UWM Golda Meir Library (Lib),47,RiverView Residence Hall (RVW),53 
99568,UWM Golda Meir Library (Lib),41,RiverView Residence Hall (RVW),44 
80507,UWM Union (Union),32,Capitol and Humboldt Park and Ride (C/H),45 
95846,UWM Union (Union),35,Capitol and Humboldt Park and Ride (C/H),36 
66519,Sandburg Residence Hall (Sand),36,Capitol and Humboldt Park and Ride (C/H),39 
103685,Sandburg Residence Hall (Sand),21,Capitol and Humboldt Park and Ride (C/H),25 
89222,UWM Union (Union),34,Capitol and Humboldt Park and Ride (C/H),26 
85850,UWM Union (Union),33,Capitol and Humboldt Park and Ride (C/H),40 
95835,UWM Union (Union),14,Capitol and Humboldt Park and Ride (C/H),23 
100375,UWM Golda Meir Library (Lib),64,Cambridge Commons (CC-S),50 
102414,UWM Golda Meir Library (Lib),106,Cambridge Commons (CC-S),114 
103325,UWM Union (Union),27,Capitol and Humboldt Park and Ride (C/H),33 
108148,Sandburg Residence Hall (Sand),20,Capitol and Humboldt Park and Ride (C/H),20 
72371,UWM Golda Meir Library (Lib),24,RiverView Residence Hall (RVW),12 
90045,UWM Golda Meir Library (Lib),28,Kenilworth Square Apartments (KNW),54 
101194,UWM Golda Meir Library (Lib),38,Cambridge Commons (CC-S),60 
97882,Cunningham Hall (Cunn),57,Cambridge Commons (CC-S),103 
99488,UWM Golda Meir Library (Lib),65,RiverView Residence Hall (RVW),79 
