,Requested Pick Up Time,# of Pass-engers,Pick Up Location,Drop Off Location,Cancellation Time,Pickup Time,Drop Off Time,Wait Time (min),Passenger Canceled?,Cancellation Message,lat,long
0,2/10/19 20:45,3,Klotsche,"3363 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:07,2/10/19 21:10,22.0,no,,,Klotsche
1,2/10/19 20:45,1,"3107 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States","1915e East Kenilworth Place, Milwaukee, Wisconsin 53202, United States",,2/10/19 21:02,2/10/19 21:06,16.0,no,,43.074891,-87.889454
2,2/10/19 20:46,4,Union South,"2866 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:01,2/10/19 21:05,15.0,no,,,Union South
3,2/10/19 20:48,1,Music Building Parking,"2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:14,2/10/19 21:18,26.0,no,,,Music Building Parking
4,2/10/19 20:48,1,"2931 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States","2621 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 20:49,,,,yes,H,43.07168799999999,-87.889497
5,2/10/19 20:50,1,KIRC Parking,"2233 North Summit Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 20:59,,,,yes,I've had a change in my plans,,KIRC Parking
6,2/10/19 20:51,1,"2916 North Cramer Street, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 21:04,2/10/19 21:10,13.0,no,,43.071397,-87.88632199999999
7,2/10/19 20:57,1,"3218 North Marietta Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 21:08,2/10/19 21:10,10.0,no,,43.076102,-87.872974
8,2/10/19 20:57,1,"3334 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2933 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:13,2/10/19 21:16,16.0,no,,43.078426,-87.887385
9,2/10/19 20:57,2,"Walgreens, 4035 N Oakland Ave, Milwaukee, Wisconsin 53211, United States","1428 East Capitol Drive, Milwaukee, Wisconsin",,2/10/19 21:24,2/10/19 21:26,27.0,no,,43.0905057,-87.8876272
10,2/10/19 20:57,1,"2414 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","UWM Klotsche Center & Pavilion, 3409 N Downer Ave., Milwaukee, Wisconsin, United States, 53211",,2/10/19 21:11,2/10/19 21:17,13.0,no,,43.0617758,-87.8876461
11,2/10/19 20:58,1,"3323 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 20:58,,,,yes,I've had a change in my plans,43.078176,-87.889358
