street,state,city,county,country,postal_code,neighborhood,sublocality,housenumber,postal_town,subpremise,latitude,longitude,location_type,postal_code_suffix,street_number,address
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Kane and Arlington
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,USR Surplus Dock
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Fresh Fin
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Collectivo - Lake
,Wisconsin,Milwaukee,Milwaukee County,United States,53208,Concordia,,,,,43.0423713,-87.9543815,GEOMETRIC_CENTER,,,Camp
,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Northpoint,,,,,43.0523441,-87.8911833,GEOMETRIC_CENTER,,,Brady and Prospect
,Wisconsin,Milwaukee,Milwaukee County,United States,53212,Hillside,,,,,43.0552033,-87.9189842,GEOMETRIC_CENTER,,,Lapham
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,Union South
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,Up 
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,"1695 N Cass St, Milwaukee, WI 53202, USA"
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,"1320 WI-190, Shorewood, WI 53211, USA"
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,Upark
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,USR Parking
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,"1714 E Park Pl, Milwaukee, WI 53211, USA"
,Wisconsin,Milwaukee,Milwaukee County,United States,53211,,,,,,43.078263,-87.8819686,GEOMETRIC_CENTER,,,"707 E Brady St, Milwaukee, WI 53202, USA"
West Arch Court,Wisconsin,Milwaukee,Milwaukee County,United States,53224,,,,,,43.1669496,-88.0471866,GEOMETRIC_CENTER,,,Arch Court
MacArthur Boulevard,California,Oakland,Alameda County,United States,94619,Laurel,,,,,43.0755358,-87.8902495,Proofed,1327,3639,Domino's Pizza - Oakland
,,,,,,,,,,,43.0634152,-87.8846875,Proofed,,104,Beans & Barley
,,,,,,,,,,,43.0635337,-87.9465164,Proofed,1816,11514,Noodles & Company
West Layton Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53207,Town of Lake,,,,,42.9595681,-87.9179738,ROOFTOP,5932,530,Oakland Gyros
South 27th Street,Wisconsin,Milwaukee,Milwaukee County,United States,53221,Castle Manor,,,,,42.9600202,-87.9475463,ROOFTOP,,4640,Lubar
South 27th Street,Wisconsin,Milwaukee,Milwaukee County,United States,53221,Southpoint,,,,,42.9786515,-87.9472466,ROOFTOP,,3632,Jimmy Johns - Brady
East Greenfield Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53204,Harbor View,,,,,43.0172124,-87.9037553,ROOFTOP,2944,600,Freshwater
South Cesar E Chavez Drive,Wisconsin,Milwaukee,Milwaukee County,United States,53204,Clarke Square,,,,,43.0204214,-87.9334103,ROOFTOP,,1035,Jalisco's
West Freshwater Way,Wisconsin,Milwaukee,Milwaukee County,United States,53204,Walker's Point,,,,,43.0292381,-87.9136288,ROOFTOP,,247,Global Water Center
North 5th Street,Wisconsin,Milwaukee,Milwaukee County,United States,53203,Westown,,,,,43.0352307,-87.9171589,ROOFTOP,,422,Stone Creek Coffee Shorewood
West Wisconsin Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53233,Avenues West,,,,,43.038863,-87.938733,ROOFTOP,2098,2040,Sal's Pizza
East Wisconsin Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53202,East Town,,,,,43.0389333,-87.9075873,ROOFTOP,,312,FedEx
North Plankinton Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53203,Westown,,,,# 1200,43.039173,-87.9110965,ROOFTOP,2411,710,Zilber
East Lyon Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0490284,-87.9040067,ROOFTOP,,605,Pick n Save
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0527304,-87.8946667,ROOFTOP,,1323,Jack's on Brady
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0527511,-87.9040954,ROOFTOP,,615,"615 E Brady St, Milwaukee, WI 53202, USA"
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.052776,-87.894284,ROOFTOP,1612,1339,Club Brady
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.052786,-87.894862,ROOFTOP,1612,1317,Rochambo
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0528092,-87.8938042,ROOFTOP,1614,1401,Nomad
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.052831,-87.895799,ROOFTOP,1602,1233,Cousin's - Brady
North Arlington Place,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0530316,-87.8951274,ROOFTOP,,1701,Hi Hat
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0530799,-87.8997799,ROOFTOP,,932,Thainamite
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.0531687,-87.8943681,ROOFTOP,,1320,Frozone
East Brady Street,Wisconsin,Milwaukee,Milwaukee County,United States,53202,Lower East Side,,,,,43.053175,-87.902409,ROOFTOP,,728,Casablanca
