"street","state","city","county","country","postal_code","neighborhood","sublocality","housenumber","postal_town","subpremise","latitude","longitude","location_type","postal_code_suffix","street_number","address"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Northpoint","","","","","43.065046","-87.878266","ROOFTOP","","2551","Starbucks - Downer"
"North Lake Drive","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Historic Water Tower","","","","","43.0639817","-87.87614169999999","ROOFTOP","3817","2550","2550 N Lake Dr, Milwaukee, WI 53211, USA"
"East Brady Street","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0527304","-87.8946667","ROOFTOP","","1323","Jack's on Brady"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Cambridge Woods","","","","","43.0721409","-87.888063","ROOFTOP","","2949","Knuckleheads"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.075684","-87.8789516","ROOFTOP","","3203","Mitchell Hall"
"","Wisconsin","Milwaukee","Milwaukee County","United States","","","","","","","43.0389025","-87.9064736","APPROXIMATE","","","Kane and Arlington"
"East Park Place","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Murray Hill","","","","","43.067876","-87.887092","ROOFTOP","","1824","1824 E Park Pl, Milwaukee, WI 53211, USA"
"East North Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.059953","-87.884863","ROOFTOP","1127","2017","Hooligans"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.07517439999999","-87.877669","ROOFTOP","","3116","Subway - Downer"
"North Oakland Avenue","Wisconsin","Shorewood","Milwaukee County","United States","53211","","","","","","43.0930027","-87.88774049999999","ROOFTOP","","4151","Mod Pizza"
"East Greenfield Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53204","Harbor View","","","","","43.0172124","-87.9037553","ROOFTOP","2944","600","Freshwater"
"MacArthur Boulevard","California","Oakland","Alameda County","United States","94619","Laurel","","","","","37.7923779","-122.1996604","ROOFTOP","1327","3639","Domino's Pizza - Oakland"
"East Hartford Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Downer Woods","","","","","43.07676740000001","-87.8807049","ROOFTOP","3175","2311","Library"
"North Commerce Street","Wisconsin","Milwaukee","Milwaukee County","United States","53212","Brewer's Hill","","","","","43.0547262","-87.90528750000001","ROOFTOP","","1872","Lakefront Brewery"
"West Freshwater Way","Wisconsin","Milwaukee","Milwaukee County","United States","53204","Walker's Point","","","","","43.0292381","-87.91362880000001","ROOFTOP","","247","Global Water Center"
"East North Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Riverside Park","","","","","43.0608118","-87.8919305","ROOFTOP","","1440","Cambridge Commons"
"South 27th Street","Wisconsin","Milwaukee","Milwaukee County","United States","53221","Castle Manor","","","","","42.9600202","-87.9475463","ROOFTOP","","4640","Lubar"
"North Bremen Street","Wisconsin","Milwaukee","Milwaukee County","United States","53212","Riverwest","","","","","43.067975","-87.900151","ROOFTOP","2606","2718","Foundation Bar"
"North Farwell Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53202","Lower East Side","","","","","43.0594862","-87.8862121","ROOFTOP","","2203","Yo Factory"
"North Downer Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Historic Water Tower","","","","","43.0665232","-87.8778741","ROOFTOP","","2608","Cafe Hollander"
"North Oakland Avenue","Wisconsin","Milwaukee","Milwaukee County","United States","53211","Cambridge Woods","","","","","43.0748027","-87.8880521","ROOFTOP","","3101","Qdoba"
