street,state,city,county,country,postal_code,neighborhood,sublocality,housenumber,postal_town,subpremise,latitude,longitude,location_type,postal_code_suffix,street_number,address,count,,,,,
Garrison Avenue,Arkansas,Fort Smith,Sebastian County,United States,72901,,,,,,43.0802625,-87.8963324,Proofed,,509,Harry's Bar & Grill, 3549 N Oakland Ave,,,,,
East 21st Street,Oklahoma,Tulsa,Tulsa County,United States,74129,,,,,,43.0748331,-87.8879517,Proofed,1816,11514,Noodles & Company,58,,,,,
4000 Road,Kansas,Edna,Labette County,United States,67342,,,,,,43.0599024,-87.8888857,Proofed,,1005,Beans & Barley,3,,,,,
International Boulevard,California,Oakland,Alameda County,United States,94603,East 14th Street Business District,,,,,43.0701835,-87.8899253,Proofed,3852,10800,Goodwill - Oakland,14,,,,,
West Layton Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53221,The Gateway To Milwaukee,,,,,43.0623578,-87.8983047,Proofed,,938,Thai Kitchen,9,,,,,
West Oklahoma Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53219,River Bend,,,,,43.0890008,-87.9131955,Proofed,,6901,USR Surplus Dock,12,,,,,
Miller Park Way,Wisconsin,West Milwaukee,Milwaukee County,United States,53219,,,,,,43.0600653,-87.8976915,Proofed,,2201,Pick n Save,38,,,,,
Miller Park Way,Wisconsin,West Milwaukee,Milwaukee County,United States,53214,,,,,,43.0903813,-87.8942012,Proofed,,1641,Culver's,21,,,,,
West Lapham Street,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0741155,-87.8890921,Proofed,,,Lapham,19,,,,,
West Greenfield Avenue,Wisconsin,West Milwaukee,Milwaukee County,United States,53215,,,,,,43.0672386,-87.908168,Proofed,,4208,Little Caesar's,1,,,,,
West Freshwater Way,Wisconsin,Milwaukee,Milwaukee County,United States,53204,Walker's Point,,,,,43.0292381,-87.9136288,ROOFTOP,,247,Global Water Center,10,,,,,
West Wisconsin Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53203,Westown,,,,,43.038647,-87.9108052,ROOFTOP,,101,Planet Fitness - Capitol,15,,,,,
West Wisconsin Avenue,Wisconsin,Milwaukee,Milwaukee County,United States,53233,Avenues West,,,,,43.038863,-87.938733,ROOFTOP,2098,2040,Sal's Pizza,11,,,,,
,,,,,,,,,,,,,,,,blank,1,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Kane and Arlington,4,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,EMS Parking,87,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Kenilworth,71,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Freshwater,33,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,EMS Cramer,23,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Zilber,94,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Curtin,7,,,,,
,Wisconsin,Milwaukee,Milwaukee County,United States,,,,,,,43.0389025,-87.9064736,APPROXIMATE,,,Aldi,9,,,,,
