,Unnamed: 0,Requested Pick Up Time,# of Pass-engers,Pick Up Location,Drop Off Location,Cancellation Time,Pickup Time,Drop Off Time,Wait Time (min),Passenger Canceled?,Cancellation Message,lat,long,LatDrop,LongDrop
0,0,2/10/19 20:45,3,Klotsche,"3363 North Cramer Street, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:07,2/10/19 21:10,22.0,no,,43.08030170000001,-87.8796044,43.078972,-87.88687
1,1,2/10/19 20:45,1,"3107 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States","1915e East Kenilworth Place, Milwaukee, Wisconsin 53202, United States",,2/10/19 21:02,2/10/19 21:06,16.0,no,,43.074891,-87.889454,43.0589889,-87.88587079999999
2,2,2/10/19 20:46,4,Union South,"2866 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:01,2/10/19 21:05,15.0,no,,43.075004799999995,-87.88137979999999,43.070873,-87.885092
3,3,2/10/19 20:48,1,Music Building Parking,"2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:14,2/10/19 21:18,26.0,no,,43.0762821,-87.8798006,43.0663463,-87.8826672
4,4,2/10/19 20:48,1,"2931 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States","2621 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 20:49,,,,yes,H,43.07168799999999,-87.889497,43.066643,-87.8833363
5,5,2/10/19 20:50,1,KIRC Parking,"2233 North Summit Avenue, Milwaukee, Wisconsin 53211, United States",2/10/19 20:59,,,,yes,I've had a change in my plans,43.0753494,-87.88309740000001,43.05889639999999,-87.8836257
6,6,2/10/19 20:51,1,"2916 North Cramer Street, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 21:04,2/10/19 21:10,13.0,no,,43.071397,-87.88632199999999,43.078982200000006,-87.8822568
7,7,2/10/19 20:57,1,"3218 North Marietta Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,,2/10/19 21:08,2/10/19 21:10,10.0,no,,43.076102,-87.872974,43.078982200000006,-87.8822568
8,8,2/10/19 20:57,1,"3334 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2933 North Murray Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:13,2/10/19 21:16,16.0,no,,43.078426,-87.887385,43.071794,-87.885825
9,9,2/10/19 20:57,2,"Walgreens, 4035 N Oakland Ave, Milwaukee, Wisconsin 53211, United States","1428 East Capitol Drive, Milwaukee, Wisconsin",,2/10/19 21:24,2/10/19 21:26,27.0,no,,43.0905057,-87.8876272,43.0894455,-87.89257160000001
10,10,2/10/19 20:57,1,"2414 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","UWM Klotsche Center & Pavilion, 3409 N Downer Ave., Milwaukee, Wisconsin, United States, 53211",,2/10/19 21:11,2/10/19 21:17,13.0,no,,43.0617758,-87.8876461,43.0803017,-87.87960439999999
11,11,2/10/19 20:58,1,"3323 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States",Sandburg,2/10/19 20:58,,,,yes,I've had a change in my plans,43.078176,-87.889358,43.078982200000006,-87.8822568
12,12,2/10/19 20:58,1,"3334 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States","2857 North Downer Avenue, Milwaukee, Wisconsin 53211, United States",,2/10/19 21:20,2/10/19 21:25,22.0,no,,43.078426,-87.887385,43.070668,-87.87838599999999
13,13,2/10/19 20:58,1,"4540 North Wilson Drive, Milwaukee, Wisconsin 53211, United States",Union South,,2/10/19 21:29,2/10/19 21:38,31.0,no,,43.0994508,-87.9020929,43.075004799999995,-87.88137979999999
14,14,2/10/19 20:59,1,Union South,Kane and Arlington,,2/10/19 20:59,2/10/19 21:12,0.0,no,,43.075004799999995,-87.88137979999999,43.0389025,-87.9064736
15,15,2/10/19 21:00,1,"2612 North Maryland Avenue, Milwaukee, Wisconsin 53211, United States",Klotsche,2/10/19 21:00,,,,yes,It took too long to receive my ETA,43.0663463,-87.8826672,43.08030170000001,-87.8796044
16,16,2/10/19 21:01,1,"3869 North Humboldt Boulevard, Milwaukee, Wisconsin 53212, United States",USR Parking,,2/10/19 21:26,2/10/19 21:30,25.0,no,,43.0876751,-87.8988064,43.0796966,-87.8820825
