blank,1
Sandburg,931
Union South,77
Kane and Arlington,4
Klotsche,159
USR Parking,210
Cambridge Commons,282
CVSÛÒBrady,17
EMS Parking,87
Pick n Save,38
WalgreensÛÒOakland,86
7-Eleven - Oakland,30
Walmart,77
Union North,87
Brady and Prospect,22
Metro Market Shorewood,88
Arch Court,54
Cousin's - Brady,3
7-Eleven - North,17
Riverview,37
Kenilworth,71
Freshwater,33
Physics Kenwood,18
EMS Cramer,23
Zilber,94
Lubar,26
Library,121
USR Surplus Dock,12
Global Water Center,10
KIRC Parking,22
Lapham,19
Merrill Hall,11
Mellencamp Hall Parking,3
Curtin,7
Hefter Center,4
Aldi,9
Noodles & Company,58
Culver's,21
Fresh Fin,6
Starbucks Shorewood,1
709 E Park place,1
Jack's on Brady,18
Zelazo Parking,8
Qdoba,36
Yo Factory,20
Blaze Pizza,33
CVSÛÒDowner,4
Club Brady,5
McDonald's - North,27
Whole Foods,20
Sal's Pizza,11
Collectivo - Lake,7
Englemann,26
Planet Fitness - Capitol,15
Jalisco's,9
Ian's,5
sandburg,1
Casablanca,13
Garland Hall,6
NWQ,8
McDonalds - Capitol,3
Cunningham,7
Goodwill - Oakland,14
Sendik's - Downer,6
Miramar Theatre,33
Oakland Gyros,29
Upark,36
Chubbys,7
Jimmy Johns - Brady,2
Collectivo - Humboldt,1
Glorioso's,1
usr,1
Comet Cafe,2
Collectivo - Prospect,2
Music Building Parking,9
Hi Hat,3
Insomnia Cookes,3
BelAirÛÒDowner,17
William Ho's,3
Pizza Man,3
Cafe Hollander,4
WalgreensÛÒBrady,32
Purin Hall,13
Garage,9
Landmark Lanes,21
Vitucci's,6
Norris Health Center,2
Starbucks - Downer,9
Thai Kitchen,9
Zelazo Front,9
Sip ,2
Jimmy Johns - Oakland,9
Knuckleheads,17
Shawarma House,6
Ma Fischer's,5
Little Caesar's,1
Domino's Pizza - Oakland,4
Von Trier,6
Mitchell Hall,1
Honor's College,1
Pizza Shuttle,8
Hooligans,1
Alumni House,1
Rochambo,2
Frozone,1
BelAirÛÒHumbolt,2
Milwaukee Brat House,1
Subway - Downer,1
Art Bar,1
Beans & Barley,3
Noodles ,1
Lakefront Brewery,1
Camp,3
Stone Creek Coffee Shorewood,1
Stone Creek - Downer,2
Potbelly's,1
FedEx,1
blank,1
2013 East Menlo Boulevard, Milwaukee, Wisconsin 53211, United States,1
2619 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States,1
2222 East Belleview Place, Milwaukee, Wisconsin 53211, United States,1
3045 North Oakland Avenue, Milwaukee, Wisconsin 53211, United States,1
Fuel Cafe, 818 E Center St, Milwaukee, Wisconsin, United States, 53212,1
2627 North Prospect Avenue, Milwaukee, Wisconsin 53211, United States,1
Downer Theater, 2589 N Downer Ave, Milwaukee, Wisconsin 53211, United States,1
3235 North Bartlett Avenue, Milwaukee, Wisconsin 53211, United States,1
